alignment_condition_id,condition_index,opinion_index,attack_index,opinion_label,attack_label,target_alignment_z,achieved_alignment_z,profile_id,exposure_position_id,ae_private,ae_private_percentile_within_condition,exposure_outgoing_visibility_weight,sender_reach_percentile_within_condition,node_area,layout_x,layout_y
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0694,168173,27.0,0.815,0.7600948538962821,0.2,41.6,0.009310085102981761,-0.23044161996524207
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0466,347570,27.0,0.815,0.6892645570208586,0.19,40.42,0.10833924838732564,0.34511891175175846
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0749,110449,28.0,0.835,0.6176778327274192,0.18,39.239999999999995,0.1946261596764828,0.1952500470762407
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0711,366331,28.0,0.835,0.5672383139785284,0.17,38.06,0.02596692139530287,-0.39043707763574104
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0785,139411,29.0,0.85,0.5248424019578145,0.16,36.879999999999995,-0.3123953896856071,-0.18079641896102247
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0542,23157,30.0,0.865,0.4814630784864689,0.15,35.7,-0.3868694017004375,-0.455265803171792
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0076,48939,30.0,0.865,0.2620498739653896,0.14,34.52,0.1552652178391666,0.8363977041860378
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0475,229697,31.0,0.88,0.2606318265851117,0.13,33.34,-0.622853569680263,0.30134971549868034
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0794,308087,32.0,0.9,0.2000251552656693,0.12,32.16,0.13503238477930285,0.41222074268572606
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0613,177674,32.0,0.9,0.1965374054740422,0.11,30.98,-0.791479994548726,0.7080288298784163
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0001,59310,32.0,0.9,0.1813479720219435,0.1,29.8,-0.6246818524553757,-0.12851364891335396
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0775,29880,34.0,0.92,0.1671007013916554,0.09,28.619999999999997,-0.7007355375504638,0.251914769727183
