opinion_label,attack_label,n_profiles,sender_reach_susceptibility_alignment_z,sender_reach_susceptibility_alignment,sender_reach_susceptibility_alignment_index,centrality_susceptibility_excess_z,centrality_susceptibility_excess,centrality_susceptibility_alignment_index,alignment_direction,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,median_ae_total_network,network_lift_over_private
National_Sovereignty_Priority,Quote_Context_Stripping,100,-0.027432447910199758,-0.253434696371464,-0.01011848899936918,-0.027432447910199758,-0.253434696371464,-0.01011848899936918,sender_reach_on_resilient_profiles,20.49,11.37,31.86,32.0,11.370000000000001
Alliance_Commitment_Support,Repost_Bot_Amplification,100,-0.035782699405576636,-0.48223078952852916,-0.038542686428479245,-0.035782699405576636,-0.48223078952852916,-0.038542686428479245,sender_reach_on_resilient_profiles,32.6,10.67,43.27,44.0,10.670000000000002
Energy_Sovereignty_Investment_Support,Credentialed_Domain_Persona_Fabrication,100,-0.03678856604269868,-0.6229446027814092,-0.0660590797694619,-0.03678856604269868,-0.6229446027814092,-0.0660590797694619,sender_reach_on_resilient_profiles,39.1,15.25,54.35,53.0,15.25
Unilateralism_Preference,Credentialed_Domain_Persona_Fabrication,100,-0.04665356818539328,-0.7173213303990238,0.005941009957928234,-0.04665356818539328,-0.7173213303990238,0.005941009957928234,sender_reach_on_resilient_profiles,36.12,15.57,51.69,49.0,15.57
Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,100,-0.07403627083526303,-0.629931205015815,-0.05633232965340629,-0.07403627083526303,-0.629931205015815,-0.05633232965340629,sender_reach_on_resilient_profiles,19.13,11.23,30.36,30.5,11.23
Alliance_Commitment_Support,Quote_Context_Stripping,100,-0.07884708411108693,-0.9132177387797249,-0.03593981702280724,-0.07884708411108693,-0.9132177387797249,-0.03593981702280724,sender_reach_on_resilient_profiles,18.79,12.38,31.17,31.5,12.380000000000003
Trust_In_Electoral_Process,Petition_Astroturf,100,-0.08133540602214354,-1.4560107721776347,-0.0329494528405202,-0.08133540602214354,-1.4560107721776347,-0.0329494528405202,sender_reach_on_resilient_profiles,35.73,15.94,51.67,54.0,15.940000000000005
Unilateralism_Preference,Quote_Context_Stripping,100,-0.0921238521483765,-0.8591017228773126,-0.014536052645959252,-0.0921238521483765,-0.8591017228773126,-0.014536052645959252,sender_reach_on_resilient_profiles,18.43,8.77,27.2,24.5,8.77
Trust_In_Electoral_Process,Quote_Context_Stripping,100,-0.09359736209406289,-0.7700571875172599,-0.05663607497085854,-0.09359736209406289,-0.7700571875172599,-0.05663607497085854,sender_reach_on_resilient_profiles,18.47,11.33,29.8,30.5,11.330000000000002
Energy_Sovereignty_Investment_Support,Petition_Astroturf,100,-0.12105669963369765,-1.7738318032468001,-0.06838600698124431,-0.12105669963369765,-1.7738318032468001,-0.06838600698124431,sender_reach_on_resilient_profiles,34.45,10.36,44.81,44.5,10.36
Unilateralism_Preference,Petition_Astroturf,100,-0.12477322519588434,-1.6066819095796774,-0.03198225958387624,-0.12477322519588434,-1.6066819095796774,-0.03198225958387624,sender_reach_on_resilient_profiles,32.74,11.8,44.54,44.0,11.799999999999997
Unilateralism_Preference,Headline_And_Lede_Misframing,100,-0.14224640208209455,-1.3607940923961692,-0.0651533255205502,-0.14224640208209455,-1.3607940923961692,-0.0651533255205502,sender_reach_on_resilient_profiles,19.77,9.38,29.15,29.0,9.379999999999999
Trust_In_Electoral_Process,Repost_Bot_Amplification,100,-0.16293108228579317,-2.622469279737068,-0.10808392189184346,-0.16293108228579317,-2.622469279737068,-0.10808392189184346,sender_reach_on_resilient_profiles,33.25,15.13,48.38,47.5,15.130000000000003
Trust_In_Mainstream_Journalism,Credentialed_Domain_Persona_Fabrication,100,-0.19385171195442816,-4.128145372039363,-0.0808505776885472,-0.19385171195442816,-4.128145372039363,-0.0808505776885472,sender_reach_on_resilient_profiles,42.87,17.96,60.83,58.5,17.96
Trade_With_Authoritarian_States_Support,Repost_Bot_Amplification,100,-0.24387183052491293,-3.125363799305859,-0.09394620289943345,-0.24387183052491293,-3.125363799305859,-0.09394620289943345,sender_reach_on_resilient_profiles,31.98,9.32,41.3,41.0,9.319999999999997
National_Sovereignty_Priority,Petition_Astroturf,100,-0.25736780413036187,-4.8902666341530505,-0.1308738714212252,-0.25736780413036187,-4.8902666341530505,-0.1308738714212252,sender_reach_on_resilient_profiles,36.17,15.85,52.02,48.5,15.850000000000001
Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,100,-0.2765583805093132,-3.8560252444850036,-0.16696046025106515,-0.2765583805093132,-3.8560252444850036,-0.16696046025106515,sender_reach_on_resilient_profiles,40.34,16.62,56.96,57.5,16.619999999999997
