term,label,ontology_group,ontology_family,feature_type,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,pagerank,community,community_size,degree,strength,positive_degree,negative_degree,positive_strength,negative_strength,within_community_strength,between_community_strength,participation_coefficient,bridge_ratio,within_module_zscore,same_family_strength_share,signed_balance,k_core
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,Big Five,Facet,0.18421052631578946,0.0,0.0,0.0848041809187932,0.7160056115549924,0.025964319774119005,3,7,7,5.627460513768577,6,1,5.461774962861639,0.16568555090693773,5.461774962861639,0.1656855509069377,0.057150958876133195,0.029442330248530168,-0.39999210781604594,1.0,0.9411153395029397,6
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,Big Five,Facet,0.2894736842105263,0.0,0.01849217638691323,0.09368618740610307,0.3876543550959988,0.02966415314936083,0,10,11,6.376422378822645,7,4,5.696538223793907,0.6798841550287379,5.874784924545038,0.5016374542776072,0.1449632002263297,0.07867067525884797,0.7088189535970654,0.9418799094365848,0.7867505900215246,7
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,Big Five,Facet,0.18421052631578946,0.0,0.0,0.09082406730348966,0.7461213849341353,0.0261734811924825,0,10,7,5.6227950273219385,6,1,5.468322433019815,0.15447259430212265,5.6227950273219385,0.0,0.0,0.0,0.5805925581332041,0.9725274363458886,0.9450548726917772,6
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,Big Five,Facet,0.3421052631578947,0.0,0.0,0.09474128888884088,0.33187597173760064,0.030475378035472095,0,10,13,6.754908415861403,6,7,5.547245827147255,1.2076625887141477,5.706174361669631,1.0487340541917716,0.26230192266815266,0.15525511074720239,0.6230205745632242,0.9764721407400296,0.6424340599856546,7
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,Big Five,Facet,0.39473684210526316,0.0,0.4238975817923187,0.09908275796893504,0.2772427534248267,0.03262997304933408,0,10,15,7.181523644523531,7,8,5.663190993006738,1.518332651516793,5.848855168850636,1.3326684756728948,0.30226634755432336,0.18556904379047168,0.6956244599106459,0.9514342975969396,0.5771558441711351,7
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,Big Five,Facet,0.18421052631578946,0.0,0.0,0.09089941712046219,0.7074372542781003,0.02650812970402584,0,10,7,5.669661616109795,7,0,5.669661616109794,0.0,5.669661616109794,0.0,0.0,0.0,0.6044408703638853,0.9711665571787097,1.0,6
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,Big Five,Trait aggregate,0.2631578947368421,0.0,0.0,0.09149592212110226,0.4609364126011404,0.029173895965132018,0,10,10,6.401099160911131,6,4,5.758658246058913,0.6424409148522175,5.913871634283944,0.48722752662718705,0.14064509658253366,0.07611622853813675,0.7287084331182416,0.9757520725232853,0.7992716879702977,7
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,Big Five,Facet,0.3157894736842105,0.0,0.0,0.09170635047115289,0.3593195900473243,0.029470969147453122,0,10,12,6.492376921618378,6,6,5.518741542271303,0.9736353793470754,5.675074061756395,0.817302859861984,0.22007823643953872,0.12588653889464135,0.6071950220324868,0.9759206032902165,0.7000681287911503,7
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,Big Five,Trait aggregate,0.18421052631578946,0.0,0.0,0.084431327156473,0.7337194523098122,0.02702499423497551,3,7,7,5.891401211264565,6,1,5.735857323699994,0.15554388756457063,5.735857323699994,0.15554388756457094,0.051409583506097256,0.026401849405055897,2.3610547907914543,1.0,0.9471963011898882,6
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,Big Five,Facet,0.18421052631578946,0.0,0.0,0.08421701943884213,0.7123633745824135,0.025746710575937103,3,7,7,5.5728055001436685,6,1,5.414046003712474,0.15875949643119466,5.414046003712474,0.1587594964311947,0.055353346040593054,0.0284882536142885,-0.8808034020178234,1.0,0.943023492771423,6
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,Demographics,Categorical dummy,0.13157894736842105,0.0,0.002844950213371266,0.06970901190234545,0.16304724295289613,0.012489804251240766,0,10,5,1.4551877340864345,3,2,0.47010374336479055,0.985083990721644,0.985083990721644,0.47010374336479077,0.4373799951911115,0.32305367366219684,-1.7793312958764111,0.6769463263378032,-0.3538926526756065,5
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Big Five: Agreeableness,Big Five,Facet,0.18421052631578946,0.0,0.005689900426742532,0.05647333216317715,0.7015156697886218,0.028110071900928492,1,7,7,5.616395387995108,7,0,5.616395387995108,0.0,5.455235498549668,0.16115988944543957,0.05574232920839073,0.028694541304893607,-0.6891262672420159,0.9713054586951064,1.0,6
profile_cat__profile_cat_sex_Other,Sex Other,Demographics: Sex,Demographics,Categorical dummy,0.13157894736842105,0.0,0.008534850640113799,0.07411952171692839,0.19708768387739756,0.012909105722209439,0,10,5,1.5479304845324222,3,2,0.5189389736773693,1.028991510855053,1.5479304845324224,0.0,0.0,0.0,-1.4929238728163854,0.6647530500479009,-0.32950610009580195,5
