feature,context,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.3393603089836,0.5848214806777374,4.000127194836558,0.00012219502288016393,500,100,0.0030326582951167957,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism
profile_cont_big_five_openness_to_experience_actions_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.2196166867246019,0.6143960241815236,1.9850660465281031,0.04990392642733778,500,100,0.16135880991232737,Big Five Openness To Experience Actions %,Big Five: Openness
profile_cont_big_five_openness_to_experience_aesthetics_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.5384749328968546,0.5494620876690458,2.7999655798336263,0.006145637999926858,500,100,0.04660442149944534,Big Five Openness To Experience Aesthetics %,Big Five: Openness
profile_cont_big_five_openness_to_experience_fantasy_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.1249269880610513,0.5942222892757593,1.8931080310570598,0.06126402603083447,500,100,0.18161033227841136,Big Five Openness To Experience Fantasy %,Big Five: Openness
profile_cont_big_five_openness_to_experience_feelings_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.9268453407398503,0.6163868183419209,1.503674824249263,0.13584860557540185,500,100,0.331130976090042,Big Five Openness To Experience Feelings %,Big Five: Openness
profile_cont_big_five_openness_to_experience_ideas_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.287772662161833,0.6142301792385614,2.0965636428972565,0.038581371579323995,500,100,0.1377531517475839,Big Five Openness To Experience Ideas %,Big Five: Openness
profile_cont_big_five_openness_to_experience_mean_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.2691275193573484,0.5853914631632303,2.1679979965875678,0.03255544757480213,500,100,0.12880633605682582,Big Five Openness To Experience Mean %,Big Five: Openness
profile_cont_big_five_openness_to_experience_values_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.2190348810063063,0.559838108532247,2.177477492917203,0.03182075876164155,500,100,0.12880633605682582,Big Five Openness To Experience Values %,Big Five: Openness
profile_cont_chronological_age,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-0.5565974539750734,0.7026038537120989,-0.7921924296805046,0.43014265610124186,500,100,0.698981816164518,Chronological Age,Demographics: Age
profile_cat__profile_cat_sex_Female,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.2881176230394207,0.5369370461678017,0.5365947928081296,0.5927513369860523,500,100,0.8506522770727318,Sex Female,Demographics: Sex
profile_cat__profile_cat_sex_Male,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.4064516467877394,0.5560230828404117,-0.7309977936732495,0.4665070900306152,500,100,0.7139316183539534,Sex Male,Demographics: Sex
profile_cat__profile_cat_sex_Other,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.11499999999999908,0.5839766328107109,0.19692568767092256,0.8442894101570433,500,100,0.9618713658876274,Sex Other,Demographics: Sex
profile_cont_big_five_agreeableness_altruism_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.3645668082684085,0.6203706856164889,0.5876596311221941,0.5580988166591375,500,100,0.8191450373545406,Big Five Agreeableness Altruism %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_compliance_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,1.0413688119454103,0.5793323197058177,1.7975327398861722,0.07529967393997544,500,100,0.21413344776680518,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_mean_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.4852391891193843,0.6160961686299414,0.787602997432116,0.4328105994546078,500,100,0.6991555837343665,Big Five Agreeableness Mean %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_modesty_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.1560623720572058,0.6471513227609355,0.24115282866362447,0.8099354146874993,500,100,0.9513668732432107,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_straightforwardness_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.21914404765731,0.6217256625906527,0.35247708248709614,0.7252297830010122,500,100,0.9339043903739448,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_tender_mindedness_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.5088106032832724,0.5983292172130328,0.8503856884229546,0.3971627036066828,500,100,0.6791765511598629,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_trust_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.49628310585654983,0.6093982243891259,0.8143822643297571,0.417380630798551,500,100,0.6907463710985066,Big Five Agreeableness Trust %,Big Five: Agreeableness
profile_cont_big_five_conscientiousness_achievement_striving_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.523312516366105,0.5177342569437506,-1.010774368022861,0.31458848036204334,500,100,0.5792994216949334,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_competence_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.28479702333636325,0.5036762974876083,-0.5654366202200928,0.5730560735265503,500,100,0.836600577929135,Big Five Conscientiousness Competence %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_deliberation_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.3811154647827511,0.5079003566927467,-0.7503744775145061,0.4548089111965934,500,100,0.7139316183539534,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_dutifulness_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.6781316298576588,0.48453186502636975,-1.3995604392721472,0.1647706661456831,500,100,0.3764471005334454,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_mean_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.51494521544736,0.4930897884592502,-1.044323422426575,0.29887909492140113,500,100,0.5666249507884896,Big Five Conscientiousness Mean %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_order_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.4082795938527275,0.5143459778871428,-0.7937839730561901,0.4292197234758806,500,100,0.698981816164518,Big Five Conscientiousness Order %,Big Five: Conscientiousness
