profile_a,profile_b,feature_distance,moderation_distance
profile_0005,profile_0718,6.724169894018681,128.55738018488086
profile_0005,profile_0726,6.7865616511409055,144.05554484295286
profile_0005,profile_0745,11.269205144928229,116.30133275246678
profile_0005,profile_0747,9.385149449489877,125.92060990957755
profile_0005,profile_0749,9.593172964576324,100.05498488331304
profile_0005,profile_0753,11.79988853698717,139.09708839512064
profile_0005,profile_0754,6.953535944392631,103.47463457292324
profile_0005,profile_0760,10.366413384938067,118.53269591129698
profile_0005,profile_0775,9.06150360547786,119.72886034703579
profile_0005,profile_0778,8.507010560667743,125.64234954823155
profile_0005,profile_0785,8.310982843658996,114.17530380953667
profile_0005,profile_0790,7.830165096040718,105.93394168065305
profile_0005,profile_0794,11.48587491825473,143.38758663147937
profile_0005,profile_0795,10.286817099017368,96.09890738192604
profile_0019,profile_0052,11.744121014232304,97.43202758846806
profile_0019,profile_0063,6.838431369519334,118.71815362445628
profile_0019,profile_0065,6.896750919307786,81.20960534321048
profile_0019,profile_0066,10.188242515298258,91.42756695876797
profile_0019,profile_0076,8.34846947551988,101.87737727287643
profile_0019,profile_0096,7.1183328326652475,78.80355321938218
profile_0019,profile_0111,5.674655557347063,101.43963722332607
profile_0019,profile_0131,9.107905627776988,75.99342076785332
profile_0019,profile_0143,8.573478939028648,88.13058492941029
profile_0019,profile_0144,6.028312529404799,97.3909646733207
profile_0019,profile_0148,8.580397945834314,94.87887014504336
profile_0019,profile_0165,8.369193754085606,72.24956747275377
profile_0019,profile_0167,10.156238785359589,105.52724766618336
profile_0019,profile_0172,11.475763685004743,85.28188553262645
profile_0019,profile_0176,8.617370200620892,85.67963585356792
profile_0019,profile_0186,9.094561842813132,79.0
profile_0019,profile_0204,7.8813551477479065,98.46319109189992
profile_0019,profile_0217,11.088090679650287,76.64854858377946
profile_0019,profile_0219,5.516265289046154,81.53526844255803
profile_0019,profile_0233,7.956069678692258,77.5306391048081
profile_0019,profile_0248,5.5888866318478065,103.06793875885944
profile_0019,profile_0253,6.33719142841028,75.35914012248281
profile_0019,profile_0269,5.97841873648278,93.02150289046077
profile_0019,profile_0272,9.928467918637194,116.64475984801032
profile_0019,profile_0280,8.266964908300814,82.05485969764375
profile_0019,profile_0287,8.357187025835833,106.07544484940895
profile_0019,profile_0293,9.021731053011045,86.0
profile_0019,profile_0295,7.294855393824895,77.35631842325486
profile_0019,profile_0297,9.958722794942146,98.75727821279807
profile_0019,profile_0307,10.494675720884196,98.25477087653302
profile_0019,profile_0308,9.713213713319265,106.4048871058092
profile_0019,profile_0325,5.033443788879167,116.09048195265622
profile_0019,profile_0345,11.320125651186187,96.1613227862429
profile_0019,profile_0353,7.233624601222487,90.41017641836565
profile_0019,profile_0355,6.380590137131376,83.22860085331244
profile_0019,profile_0360,11.05720173815525,102.03920815059278
profile_0019,profile_0364,6.5092468085847095,91.29074432821763
profile_0019,profile_0368,10.934269607778328,76.47221717722064
profile_0019,profile_0372,9.479482695810434,95.16301802696255
profile_0019,profile_0390,8.509112217228255,102.66450214168479
profile_0019,profile_0391,7.782175191558975,102.7277956543408
profile_0019,profile_0393,10.543477396712737,62.95236294214857
profile_0019,profile_0395,7.270121781280827,63.623894882347464
profile_0019,profile_0397,8.624781255001142,85.43418519538885
profile_0019,profile_0416,9.242606215553472,123.92336341465236
profile_0019,profile_0424,8.367507971398839,98.2089608946149
