lhs,op,rhs,estimate,std_error,z_value,p_value,q_value,q_significant
adversarial_delta_indicator__trust_in_electoral_process,~,Big Five Openness To Experience Mean %,0.578403769048177,0.631396118420184,0.9160711511728721,0.35962957768638226,0.7128508578957341,False
adversarial_delta_indicator__trust_in_electoral_process,~,Big Five Conscientiousness Mean %,0.24555592946644017,0.6162227062537166,0.3984856886544834,0.6902722055222759,0.8785282615738057,False
adversarial_delta_indicator__trust_in_electoral_process,~,Sex Female,1.3897014279633442,1.5725993676795484,0.8836970537594941,0.37685977120169434,0.7128508578957341,False
adversarial_delta_indicator__trust_in_electoral_process,~,Sex Other,3.275755912448386,1.530731858231913,2.139993294599578,0.032355308645878544,0.15869826224204447,False
adversarial_delta_indicator__trust_in_electoral_process,~,Mean Baseline Abs Score,0.5867339723869519,0.6782157279984685,0.8651140753070411,0.38697618000054135,0.7128508578957341,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Big Five Neuroticism Mean %,2.0138959386287727,0.6697841073717155,3.006783703077771,0.002640275543238646,0.015401607335558768,True
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Big Five Openness To Experience Mean %,0.6752007527382579,0.6504860670507672,1.0379941814872475,0.29927276396394076,0.6983031159158618,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Big Five Conscientiousness Mean %,-0.4312059867566923,0.6348538942895509,-0.6792208264526202,0.4969979532191142,0.7863347133388772,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Sex Female,0.02602866728104835,1.6201461299570945,0.01606562938969066,0.9871820337484403,0.9871820337484403,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Sex Other,-1.226377064602731,1.577012777116812,-0.7776582931966399,0.43677048565952603,0.745705707223581,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~,Mean Baseline Abs Score,0.9265116433966903,0.698721244314184,1.3260104096373417,0.18483624937622434,0.49763605601291167,False
adversarial_delta_indicator__unilateralism_preference,~,Big Five Neuroticism Mean %,-0.11303877604427494,0.555485259594977,-0.20349554572607712,0.8387477268458894,0.962497391462496,False
adversarial_delta_indicator__unilateralism_preference,~,Big Five Openness To Experience Mean %,1.1436938838612487,0.5394804353249275,2.1199914009305734,0.0340067704804381,0.15869826224204447,False
adversarial_delta_indicator__unilateralism_preference,~,Big Five Conscientiousness Mean %,0.037467630883927114,0.5265158972764324,0.07116144275542097,0.9432692678107422,0.9802398021058665,False
adversarial_delta_indicator__unilateralism_preference,~,Sex Female,-1.6954907954691643,1.34366773364115,-1.2618378435518143,0.20700714169937928,0.5262070670524266,False
adversarial_delta_indicator__unilateralism_preference,~,Sex Other,-1.2971472198898408,1.3078950996894325,-0.9917823074624749,0.32130373010996993,0.6984440821797615,False
adversarial_delta_indicator__unilateralism_preference,~,Mean Baseline Abs Score,-0.33921367125500834,0.5794842659158326,-0.5853716678887226,0.5582978349413137,0.8314181857008913,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Energy Sovereignty Investment Support,1.5414860126532217,2.9024009569886817,0.5311071886676965,0.5953445029907043,0.8314181857008913,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator National Sovereignty Priority,-1.133990603706439,3.4309032842990774,-0.33052246296058996,0.7410052224467651,0.9100064135311151,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Trade With Authoritarian States Support,2.1278322102922926,2.607405012247759,0.8160727621126806,0.41445852130922933,0.7438999100422065,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Trust In Electoral Process,1.6448948926968145,3.2442846141542097,0.5070131287248774,0.6121456067877182,0.8314181857008913,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,-5.276297452854507,3.379517591988353,-1.561257578703301,0.118462988392815,0.3455170494790437,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Unilateralism Preference,4.072732751206322,2.7982290275079427,1.4554679803432589,0.14553974840697093,0.4075112955395186,False
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Alliance Commitment Support,28.388270761532905,4.014707752327942,7.071067811863715,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator National Sovereignty Priority,0.828219912680642,3.501851364055937,0.23650915660827454,0.8130376028580619,0.9485438700010723,False
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator Trade With Authoritarian States Support,-1.7877407344470024,2.659171089436927,-0.6722924830026187,0.5013975142780904,0.7863347133388772,False
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator Trust In Electoral Process,2.020832070857212,3.314163842942027,0.6097562361499553,0.5420232959017146,0.82481805898087,False
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,1.7523783925528762,3.412515015994931,0.5135152180543447,0.607590968390344,0.8314181857008913,False
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator Unilateralism Preference,-1.25557456096967,2.8292217684856595,-0.44378796139451177,0.6571958930006534,0.851920602037884,False
adversarial_delta_indicator__energy_sovereignty_investment_support,~~,Adversarial Delta Indicator Energy Sovereignty Investment Support,29.590282530485393,4.1846978869064095,7.071067811863788,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__national_sovereignty_priority,~~,Adversarial Delta Indicator Trade With Authoritarian States Support,-0.2566230456296718,3.1390932030453476,-0.08175069328321656,0.9348449658224753,0.9802398021058665,False
adversarial_delta_indicator__national_sovereignty_priority,~~,Adversarial Delta Indicator Trust In Electoral Process,0.3652146203446475,3.9139125431617185,0.09331190115186586,0.9256557775840173,0.9802398021058665,False
adversarial_delta_indicator__national_sovereignty_priority,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,-5.089177051846914,4.064062431332255,-1.2522388958915083,0.21048282682097064,0.5262070670524266,False
adversarial_delta_indicator__national_sovereignty_priority,~~,Adversarial Delta Indicator Unilateralism Preference,2.231585483189044,3.3514358008507323,0.6658595347766798,0.505500887146421,0.7863347133388772,False
adversarial_delta_indicator__national_sovereignty_priority,~~,Adversarial Delta Indicator National Sovereignty Priority,41.4193527252603,5.8575810368778125,7.071067811864269,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__trade_with_authoritarian_states_support,~~,Adversarial Delta Indicator Trust In Electoral Process,-5.8480068847739926,3.0231522888026183,-1.934406978580719,0.053063109112500007,0.17687703037500002,False
adversarial_delta_indicator__trade_with_authoritarian_states_support,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,-2.6923110356804507,3.0675656210113886,-0.8776702337640319,0.3801227025411811,0.7128508578957341,False
adversarial_delta_indicator__trade_with_authoritarian_states_support,~~,Adversarial Delta Indicator Unilateralism Preference,-0.7617729447300147,2.535411773733988,-0.3004533435639234,0.763831379724768,0.9218654582885131,False
adversarial_delta_indicator__trade_with_authoritarian_states_support,~~,Adversarial Delta Indicator Trade With Authoritarian States Support,23.788994600876137,3.3642718799779368,7.071067811863373,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__trust_in_electoral_process,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,2.8809521940884353,3.8208087040940617,0.7540163397870958,0.4508394103193205,0.7513990171988676,False
adversarial_delta_indicator__trust_in_electoral_process,~~,Adversarial Delta Indicator Unilateralism Preference,-1.1401646665891534,3.1618222623658805,-0.36060365573352865,0.7183957560774772,0.8979946950968465,False
adversarial_delta_indicator__trust_in_electoral_process,~~,Adversarial Delta Indicator Trust In Electoral Process,36.9812094359165,5.2299327937232984,7.071067811864124,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__trust_in_mainstream_journalism,~~,Adversarial Delta Indicator Unilateralism Preference,0.34865847807308326,3.2554865198835063,0.10709873192331709,0.914710653161116,0.9802398021058665,False
adversarial_delta_indicator__trust_in_mainstream_journalism,~~,Adversarial Delta Indicator Trust In Mainstream Journalism,39.25123196143238,5.550962457970998,7.0710678118642,1.5374368445009168e-12,1.5374368445009168e-11,True
adversarial_delta_indicator__unilateralism_preference,~~,Adversarial Delta Indicator Unilateralism Preference,26.997819747956754,3.818068284206462,7.071067811863622,1.5374368445009168e-12,1.5374368445009168e-11,True
