condition_id,condition_index,opinion_index,attack_index,opinion_leaf,opinion_label,attack_leaf,attack_label,alignment_level,alignment_level_index,target_alignment_z,achieved_alignment_z,alignment_abs_error,profile_count,condition_input_path,assignment_map_path
condition_11__trust_in_electoral_process__quote_context_stripping,11,3,1,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_30,4,0.3,0.28545402340363357,0.014545976596366417,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_11__trust_in_electoral_process__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_11__trust_in_electoral_process__quote_context_stripping.json
condition_12__energy_sovereignty_investment_support__quote_context_stripping,12,4,1,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_60,5,0.6,0.6132632379905574,0.013263237990557397,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_12__energy_sovereignty_investment_support__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_12__energy_sovereignty_investment_support__quote_context_stripping.json
condition_13__national_sovereignty_priority__quote_context_stripping,13,5,1,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_90,6,0.9,0.9109638594366544,0.010963859436654344,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_13__national_sovereignty_priority__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_13__national_sovereignty_priority__quote_context_stripping.json
condition_14__trade_with_authoritarian_states_support__quote_context_stripping,14,6,1,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,resilient_0_90,0,-0.9,-0.8791515057563701,0.02084849424362989,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_14__trade_with_authoritarian_states_support__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_14__trade_with_authoritarian_states_support__quote_context_stripping.json
condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication,15,0,2,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_30,2,-0.3,-0.289482259300087,0.010517740699913014,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication.json
condition_16__unilateralism_preference__credentialed_domain_persona_fabrication,16,1,2,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,neutral_0_00,3,0.0,0.007896470631702013,0.007896470631702013,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_16__unilateralism_preference__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_16__unilateralism_preference__credentialed_domain_persona_fabrication.json
condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication,17,2,2,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_30,4,0.3,0.32637297694026923,0.026372976940269244,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication.json
condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication,18,3,2,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_60,5,0.6,0.6037333375643494,0.0037333375643494593,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_18__trust_in_electoral_process__credentialed_domain_persona_fabrication.json
condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication,19,4,2,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_90,6,0.9,0.9035477744994939,0.0035477744994938387,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_19__energy_sovereignty_investment_support__credentialed_domain_persona_fabrication.json
condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication,20,5,2,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_90,0,-0.9,-0.8806477174555595,0.019352282544440547,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication.json
condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication,21,6,2,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_60,1,-0.6,-0.5803294055781957,0.0196705944218043,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication.json
condition_22__alliance_commitment_support__repost_bot_amplification,22,0,3,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,neutral_0_00,3,0.0,0.00020951555363728225,0.00020951555363728225,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_22__alliance_commitment_support__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_22__alliance_commitment_support__repost_bot_amplification.json
condition_23__unilateralism_preference__repost_bot_amplification,23,1,3,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_30,4,0.3,0.29992359953823267,7.640046176732307e-05,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_23__unilateralism_preference__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_23__unilateralism_preference__repost_bot_amplification.json
condition_24__trust_in_mainstream_journalism__repost_bot_amplification,24,2,3,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_60,5,0.6,0.5999930502582984,6.949741701567369e-06,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_24__trust_in_mainstream_journalism__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_24__trust_in_mainstream_journalism__repost_bot_amplification.json
condition_25__trust_in_electoral_process__repost_bot_amplification,25,3,3,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_90,6,0.9,0.9000194577562125,1.9457756212482025e-05,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_25__trust_in_electoral_process__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_25__trust_in_electoral_process__repost_bot_amplification.json
condition_26__energy_sovereignty_investment_support__repost_bot_amplification,26,4,3,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,resilient_0_90,0,-0.9,-0.8831447365691171,0.01685526343088295,100,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_26__energy_sovereignty_investment_support__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_26__energy_sovereignty_investment_support__repost_bot_amplification.json
