feature,vif
demographics_and_identity_political_profile_collective_narcissism_model_mean_pct,31.125835128448962
political_profile_moral_foundations_theory_sanctity_degradation_mean_pct,22.487187664969614
political_profile_moral_foundations_theory_liberty_oppression_mean_pct,21.970869403162173
political_profile_moral_foundations_theory_fairness_cheating_mean_pct,21.796704003658462
political_profile_moral_foundations_theory_care_harm_mean_pct,21.663028721066972
demographics_and_identity_political_profile_political_efficacy_model_mean_pct,21.619595148492213
political_profile_moral_foundations_theory_authority_subversion_mean_pct,21.540775413092366
demographics_and_identity_political_profile_social_dominance_orientation_model_mean_pct,21.242849045701305
political_profile_moral_foundations_theory_loyalty_betrayal_mean_pct,21.111562958791822
political_profile_dual_process_motivational_model_dangerous_worldview,12.308541756971248
political_profile_system_justification_theory_political_system_justification,12.125371244406555
hexaco_extraversion_sociability,12.115777454335875
big_five_agreeableness_modesty,12.087274586817296
political_profile_dual_process_motivational_model_competitive_jungle_worldview,12.045729023394738
hexad_user_types_model_player_leaderboard_climbing,12.034307882100368
hexad_user_types_model_achiever_performance_optimization,12.033272778133846
political_profile_system_justification_theory_economic_system_justification,12.031546465702554
hexad_user_types_model_philanthropist_prosocial_contribution,12.015512597434192
big_five_extraversion_excitement_seeking,12.013222441665102
gal_tan_model_traditional_authoritarian_nationalist_restrictionist_outgroup_policy_preference,12.003950354996281
ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_tradition_vs_progress,11.98692490870364
political_profile_nationalism_and_cosmopolitanism_model_cosmopolitan_orientation,11.983900438768288
hexad_user_types_model_disruptor_norm_disruption,11.982753141187839
big_five_openness_to_experience_feelings,11.978073333632413
hexad_user_types_model_philanthropist_care_taking,11.97757832527868
political_profile_dual_process_motivational_model_hierarchy_preference,11.97660619361147
big_five_neuroticism_anger_hostility,11.969303963977143
hexad_user_types_model_player_extrinsic_incentive,11.964690862849412
hexaco_openness_to_experience_creativity,11.95956706735711
eysenck_pen_model_extraversion_sensation_seeking,11.95609216203101
political_profile_right_wing_authoritarianism_model_authoritarian_submission,11.939240973989456
moral_foundations_theory_sanctity_degradation_purity_concerns,11.932341705457494
hexaco_openness_to_experience_aesthetic_appreciation,11.923341930519582
hexad_user_types_model_free_spirit_self_expression,11.922255070467697
hexad_user_types_model_player_status_gain,11.922063598931613
hexaco_emotionality_sentimentality,11.919565651717178
ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_cultural_openness,11.917592679658652
political_profile_populist_attitudes_model_manichean_worldview,11.91410024216865
political_profile_dual_process_motivational_model_threat_sensitivity,11.910538897532351
hexad_user_types_model_achiever_mastery,11.896727597555854
hexad_user_types_model_philanthropist_purpose,11.895486913371196
hexad_user_types_model_achiever_progression,11.89442842402814
libertarian_authoritarian_dimension_model_libertarianism_skepticism_of_state_control,11.890544266002042
hexad_user_types_model_socialiser_social_status,11.8885278362129
hexad_user_types_model_free_spirit_experimentation,11.887888234187873
moral_foundations_theory_sanctity_degradation_disgust_sensitivity_in_moral_judgment,11.868774500045436
hexad_user_types_model_player_reward,11.862497181851538
eysenck_pen_model_extraversion_activity,11.86037917002096
political_profile_system_justification_theory_general_system_justification,11.856950835074864
hexaco_openness_to_experience_inquisitiveness,11.85469222354601
political_profile_collective_narcissism_model_need_for_external_recognition,11.846237205054035
hexad_user_types_model_achiever_skill_development,11.844558003701426
hexad_user_types_model_disruptor_system_impact,11.84377787050622
libertarian_authoritarian_dimension_model_authoritarianism_acceptance_of_coercive_social_control,11.84062071117651
hexad_user_types_model_socialiser_social_comparison,11.830353126107768
political_profile_nationalism_and_cosmopolitanism_model_national_identification,11.82959143693548
eysenck_pen_model_psychoticism_aggressiveness,11.829388437260485
hexaco_emotionality_anxiety,11.827017323928269
eysenck_pen_model_extraversion_assertiveness,11.823864631682115
big_five_neuroticism_self_consciousness,11.821224976886933
hexad_user_types_model_free_spirit_exploration,11.819539452248128
hexad_user_types_model_philanthropist_meaning,11.811167961225744
political_profile_right_wing_authoritarianism_model_authoritarian_aggression,11.811112428594578
big_five_agreeableness_altruism,11.810767571565755
big_five_neuroticism_stress_vulnerability,11.810378680986446
hexaco_openness_to_experience_unconventionality,11.808882680475472
hexad_user_types_model_achiever_competence,11.802275242248838
hexad_user_types_model_player_reward_maximization,11.799380105581362
hexaco_agreeableness_gentleness,11.798987743072823
hexad_user_types_model_player_point_accumulation,11.798325470122936
hexad_user_types_model_disruptor_rule_challenging,11.784655897466095
big_five_conscientiousness_achievement_striving,11.783966958439
ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_religious_and_moral_traditionalism,11.776347334317848
ideological_dimensions_two_axis_model_economic_left_right_market_deregulation,11.773435414238893
big_five_openness_to_experience_aesthetics,11.770994614289679
ideological_dimensions_two_axis_model_economic_left_right_welfare_state_support,11.76240875121311
eysenck_pen_model_neuroticism_low_stress_tolerance,11.762144905799499
political_profile_political_trust_and_legitimacy_model_trust_in_science_and_experts,11.75963842451791
hexad_user_types_model_free_spirit_creativity,11.751666723110906
gal_tan_model_traditional_authoritarian_nationalist_strong_leader_preference,11.751218022335568
hexad_user_types_model_philanthropist_mentoring,11.750325431674787
ideological_dimensions_two_axis_model_economic_left_right_public_sector_role,11.749169126392816
eysenck_pen_model_psychoticism_coldness,11.74899461586179
big_five_extraversion_positive_emotions,11.74510828053344
hexad_user_types_model_philanthropist_knowledge_sharing,11.743166256634447
libertarian_authoritarian_dimension_model_libertarianism_anti_censorship_orientation,11.742563515978476
hexad_user_types_model_free_spirit_discovery,11.740104938581082
political_profile_right_wing_authoritarianism_model_conventionalism,11.738085769604162
big_five_agreeableness_trust,11.731089114245737
hexad_user_types_model_philanthropist_altruism,11.728752502565339
big_five_conscientiousness_dutifulness,11.725135006580395
political_profile_nationalism_and_cosmopolitanism_model_ethnic_nationalism,11.725112384861198
hexad_user_types_model_free_spirit_autonomy,11.721232166709918
big_five_extraversion_gregariousness,11.721215230719462
hexad_user_types_model_disruptor_system_manipulation,11.720266746416348
moral_foundations_theory_fairness_cheating_reciprocity,11.718966403041602
ideological_dimensions_two_axis_model_economic_left_right_taxation_progressivity,11.717530307234991
moral_foundations_theory_fairness_cheating_equality,11.716400753268367
big_five_openness_to_experience_ideas,11.714393328060735
hexaco_extraversion_liveliness,11.713518560035935
moral_foundations_theory_authority_subversion_respect_for_tradition_and_rank,11.71349904765701
eysenck_pen_model_neuroticism_depressiveness,11.709181868069916
hexad_user_types_model_disruptor_autonomy,11.708978897134518
hexaco_agreeableness_patience,11.70265375782616
moral_foundations_theory_care_harm_harm_avoidance,11.70189765162015
eysenck_pen_model_extraversion_sociability,11.701690490967682
hexad_user_types_model_socialiser_relationship_building,11.700576158556025
hexad_user_types_model_free_spirit_customization,11.698235767612372
hexad_user_types_model_achiever_challenge_seeking,11.695097629387943
libertarian_authoritarian_dimension_model_libertarianism_privacy_and_anti_surveillance,11.686635851701123
libertarian_authoritarian_dimension_model_authoritarianism_punitive_attitudes,11.686288709838896
hexad_user_types_model_player_achievement_collection,11.68443814162437
hexaco_emotionality_dependence,11.678779546878678
big_five_agreeableness_compliance,11.677806191527115
big_five_openness_to_experience_actions,11.67749034953134
hexaco_conscientiousness_prudence,11.660471039379432
big_five_agreeableness_tender_mindedness,11.659318861488346
hexaco_honesty_humility_sincerity,11.653646754494195
hexaco_extraversion_social_boldness,11.651049966246925
political_profile_political_trust_and_legitimacy_model_trust_in_police,11.650946430297534
hexaco_agreeableness_flexibility,11.647279692507368
political_profile_collective_narcissism_model_collective_narcissism,11.646125627410926
libertarian_authoritarian_dimension_model_authoritarianism_law_and_order_preference,11.645756721832132
big_five_neuroticism_depression,11.645189088170646
ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_gender_and_sexuality_liberalism,11.641869336811748
hexaco_emotionality_fearfulness,11.64133604227711
libertarian_authoritarian_dimension_model_authoritarianism_support_for_obedience_and_conformity,11.640199521794317
ideological_dimensions_two_axis_model_economic_left_right_labor_and_union_support,11.63720251330179
moral_foundations_theory_liberty_oppression_resistance_to_bullying_and_tyranny,11.635610764046103
political_profile_political_trust_and_legitimacy_model_perceived_institutional_legitimacy,11.62482279526154
libertarian_authoritarian_dimension_model_libertarianism_civil_liberties_support,11.608507019007094
political_profile_political_trust_and_legitimacy_model_trust_in_government,11.607173042890826
big_five_conscientiousness_self_discipline,11.606838230514485
ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_lifestyle_permissiveness,11.60586739785014
moral_foundations_theory_authority_subversion_deference_to_legitimate_authority,11.602319020421023
big_five_neuroticism_impulsiveness,11.600073071794148
big_five_openness_to_experience_values,11.60000679237307
moral_foundations_theory_liberty_oppression_anti_domination,11.598363078846806
hexad_user_types_model_socialiser_social_interaction,11.59555721014772
big_five_conscientiousness_order,11.592806025595678
political_profile_system_justification_theory_gender_system_justification,11.592265028970811
hexaco_agreeableness_forgiveness,11.588748587910887
big_five_conscientiousness_deliberation,11.586241503124969
political_profile_populist_attitudes_model_popular_sovereignty,11.580059019029541
hexad_user_types_model_disruptor_innovation_pressure,11.57599787711729
big_five_agreeableness_straightforwardness,11.571395056045017
gal_tan_model_green_alternative_libertarian_environmental_protection_orientation,11.552486249411015
gal_tan_model_green_alternative_libertarian_pluralism_and_diversity_support,11.539145186126998
big_five_conscientiousness_competence,11.53039493234354
hexad_user_types_model_achiever_goal_completion,11.530270608772112
hexad_user_types_model_disruptor_change,11.528675539385677
moral_foundations_theory_care_harm_compassion,11.522269017465552
hexad_user_types_model_socialiser_group_participation,11.520351458309444
hexaco_honesty_humility_fairness,11.519946479148071
political_profile_populist_attitudes_model_anti_elitism,11.517607670213943
hexad_user_types_model_socialiser_relatedness,11.51678116828389
big_five_extraversion_activity_level,11.511394287812983
big_five_openness_to_experience_fantasy,11.511317120194667
gal_tan_model_green_alternative_libertarian_participatory_democracy_preference,11.50315401724719
ideological_dimensions_two_axis_model_economic_left_right_redistribution_and_inequality,11.485994772414976
political_profile_nationalism_and_cosmopolitanism_model_national_superiority_beliefs,11.483243114249428
eysenck_pen_model_psychoticism_egocentricity,11.482235027907116
hexad_user_types_model_socialiser_belonging,11.480356377577959
political_profile_political_efficacy_model_internal_political_efficacy,11.471877063253578
political_profile_social_dominance_orientation_model_anti_egalitarianism,11.467257185400413
hexaco_conscientiousness_perfectionism,11.463183880701827
eysenck_pen_model_neuroticism_emotional_instability,11.46024974616841
political_profile_nationalism_and_cosmopolitanism_model_global_identity,11.459800699349108
big_five_extraversion_warmth,11.456015396448514
gal_tan_model_traditional_authoritarian_nationalist_national_order_and_unity_preference,11.444434844866418
big_five_extraversion_assertiveness,11.437704208670185
big_five_neuroticism_anxiety,11.434772138868231
political_profile_populist_attitudes_model_people_centrism,11.42900493563066
eysenck_pen_model_psychoticism_impulsivity,11.422317904320545
moral_foundations_theory_loyalty_betrayal_patriotism,11.418105857050692
hexaco_conscientiousness_diligence,11.411822271941649
hexaco_honesty_humility_greed_avoidance,11.411349247987111
political_profile_nationalism_and_cosmopolitanism_model_civic_nationalism,11.402201369087743
political_profile_political_trust_and_legitimacy_model_trust_in_judiciary,11.401068803064403
eysenck_pen_model_neuroticism_anxiety,11.393718465954933
gal_tan_model_traditional_authoritarian_nationalist_cultural_traditionalism,11.379505516645303
hexaco_conscientiousness_organization,11.354881696007626
hexaco_extraversion_social_self_esteem,11.330754873369859
political_profile_collective_narcissism_model_ingroup_entitlement,11.32972925635661
moral_foundations_theory_loyalty_betrayal_ingroup_loyalty,11.32001205894776
political_profile_political_trust_and_legitimacy_model_trust_in_parliament_or_legislature,11.300597725918191
gal_tan_model_green_alternative_libertarian_civil_liberties_orientation,11.290609132294502
hexaco_honesty_humility_modesty,11.269171843720525
political_profile_social_dominance_orientation_model_group_based_dominance,11.254222348871151
political_profile_political_efficacy_model_external_political_efficacy,11.229965721017917
political_participation_taxonomy_electoral_participation_campaign_volunteering,1.0311794698801942
political_participation_taxonomy_institutional_participation_consultation_submission_participation,1.0296776043682878
political_participation_taxonomy_electoral_participation_voter_registration_engagement,1.0290049082855675
political_participation_taxonomy_civic_and_information_behavior_fact_checking_behavior,1.0288755865099286
political_participation_taxonomy_electoral_participation_voting_participation,1.0277828796894581
political_participation_taxonomy_civic_and_information_behavior_news_seeking,1.0276689632931457
political_participation_taxonomy_institutional_participation_jury_or_civic_duty_participation,1.0257584953866115
political_participation_taxonomy_electoral_participation_running_for_office,1.025505184622896
political_participation_taxonomy_collective_action_boycott_participation,1.0254360103611289
political_participation_taxonomy_electoral_participation_candidate_support_activities,1.0251592274189938
political_participation_taxonomy_community_and_civil_society_civic_volunteering,1.0251262888922668
political_participation_taxonomy_civic_and_information_behavior_political_discussion_engagement,1.0248599873260886
political_participation_taxonomy_civic_and_information_behavior_political_donations,1.0248521119709408
political_participation_taxonomy_electoral_participation_party_membership,1.0247965808488981
political_participation_taxonomy_institutional_participation_petition_signing,1.0247155811474904
political_participation_taxonomy_institutional_participation_contacting_representatives,1.0246850364812599
political_participation_taxonomy_community_and_civil_society_ngo_or_association_membership,1.0243193444533867
political_participation_taxonomy_institutional_participation_town_hall_or_public_meeting_attendance,1.0241575118134045
political_participation_taxonomy_civic_and_information_behavior_online_activism,1.023839772356937
political_participation_taxonomy_collective_action_grassroots_organizing,1.0234897166094714
political_participation_taxonomy_collective_action_strike_participation,1.023451814615302
political_participation_taxonomy_collective_action_buycott_ethical_consumption,1.0232349829353806
political_participation_taxonomy_community_and_civil_society_community_organizing,1.0224274220265606
political_participation_taxonomy_community_and_civil_society_mutual_aid_participation,1.0223986482256104
political_participation_taxonomy_collective_action_protest_participation,1.0202345175928726
political_participation_taxonomy_civic_and_information_behavior_political_content_creation,1.0201221933453921
