position_id,prompt_topk_out_reach_count,prompt_topk_out_reach_weight,two_hop_reach_count,combined_two_step_reach_count,cascade_reach_potential,prompt_topk_out_reach_pct,cascade_reach_pct,dominant_structural_role,community_id,weighted_out_degree,weighted_out_degree_pct,weighted_in_degree,bridge_score,bridge_score_pct,h2_neighborhood_activation_readiness,incoming_peer_community_count,incoming_effective_peer_count,cross_community_incoming_share,h3_central_susceptible_sender_readiness,h4_central_resilient_sender_dampening_capacity
350928,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,cluster_core,0,0.2425375509960253,0.3834728280089591,2.099338103881057,0.1072020445967311,0.18354355770364258,0.9302273189559739,2,11.705177613571585,0.031206249422250847,0.17092420134386418,0.17092420134386418
351562,2,1.077252484618161,0,2,0.12469198373696012,0.7396557821525404,0.6163503477543322,cross_community_connector,5,1.6778163928464296,0.728397972415419,4.296541205645962,0.6671809306554742,0.9777201461747024,0.7698010925782834,4,28.405486268973572,0.724126935384297,0.5065947122619692,0.5065947122619692
354121,19,6.632827019189527,56,75,0.4915362196528554,0.9498997995991983,0.9213721560768596,broker_bridge,0,23.786553065716102,0.9469527289873866,4.768451243228902,0.4387934309742443,0.7064717670635389,0.9422862448551488,3,26.259422927245065,0.5901005336511171,0.6939191074020781,0.6939191074020781
354947,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,exposed_receiver,0,2.488894300998036,0.7816810090769775,14.785558085523297,0.0556205710223534,0.10267594011552517,0.9739463055037729,2,29.398438103801173,0.029248149789613785,0.29412354120004713,0.29412354120004713
358674,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,broker_bridge,1,0.5342265580489803,0.51738771660969,8.34947519146715,0.5587487903339826,0.8697394789579158,0.9711854961406085,3,28.78723250480726,0.6025703969382796,0.3550335966049747,0.3550335966049747
359866,1,0.1158355035305961,7,8,0.24938396747392025,0.6049157137805021,0.7658257691854297,cluster_core,0,0.246860440513291,0.387421902628787,8.276671717829219,0.3599427140100865,0.6042673582459036,0.9762457397863952,4,26.374346707281802,0.20949548199576631,0.3686739229325203,0.3686739229325203
361338,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,peripheral_receiver,1,0.0,0.11375692561593775,6.348163312599528,0.5676888890317464,0.880702581633856,0.9601465099191393,3,25.162042452352892,0.6010033825730557,0.2159554402923494,0.2159554402923494
364420,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,peripheral_receiver,0,0.0,0.11375692561593775,4.256112716088158,0.3614994041085502,0.6065071319108806,0.9773421477279591,3,21.382401904295364,0.215670325044767,0.16111635034775432,0.16111635034775432
366705,1,0.0655124684913474,3,4,0.18267045442043695,0.6049157137805021,0.6911469998821171,cluster_core,0,0.4233034631272552,0.47707179064010374,6.905022936585945,0.1894999124636297,0.3392667688317812,0.9554449947632806,4,26.97717191802911,0.09499165264080292,0.3170301849795892,0.3170301849795892
367466,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,peripheral_receiver,0,0.0,0.11375692561593775,3.8813079631510177,0.3577906979983853,0.6010845219851467,0.9437243905046022,4,19.173998000303634,0.22122068637900807,0.16003182836260757,0.16003182836260757
